target,model,type,roc_auc_mean,roc_auc_std,avg_precision_mean,avg_precision_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
win_loss,RandomForest,classification,0.5178089668615985,0.07786250271487759,0.6152725595927475,0.06400621842929612,0.589080425411947,0.0488082008854109,0.6063333333333334,0.10793465101110435,0.5952400164506135,0.07007661243181253,,,,,,
win_loss,XGBoost,classification,0.4628737816764133,0.09301507173773951,0.5776949619326706,0.05789354428362489,0.5495522314392255,0.07051093398651198,0.6178333333333333,0.10614992018628915,0.5804182527533448,0.08339027849085157,,,,,,
win_loss,LightGBM,classification,0.49152485380116956,0.09544036676293342,0.6012572425720548,0.05584207689509337,0.5752466695944957,0.06377765036050215,0.5726666666666667,0.07644242568393839,0.5717588542663443,0.062175111212171126,,,,,,
tp1_hit,RandomForest,classification,0.4507637600494744,0.060945419819011304,0.49661884735272244,0.05055309774646563,0.4705687304897831,0.04621893029525618,0.496103896103896,0.09758424620347637,0.47830170897178015,0.060268394527621075,,,,,,
tp1_hit,XGBoost,classification,0.44241857349000213,0.0571093409065,0.487677652937787,0.03516023613937335,0.47032235041846027,0.05535207015742699,0.4787878787878788,0.09405403262993703,0.47178155116533854,0.06976170603821935,,,,,,
tp1_hit,LightGBM,classification,0.4497959183673469,0.06684731051904502,0.49917049416157705,0.04634253918931981,0.4900580216884564,0.06292501134776148,0.5158008658008658,0.10360732775411445,0.4997706377032537,0.07766841949131544,,,,,,
tp2_hit,RandomForest,classification,0.4712630718954248,0.1218773504293311,0.4329258547494706,0.08122206520944879,0.3878765922610316,0.08133704128857779,0.39673202614379083,0.07237215679085106,0.38870438276961355,0.06567021272206623,,,,,,
tp2_hit,XGBoost,classification,0.47385893246187366,0.11112066864918453,0.43352049683650246,0.07671224643353573,0.36045454545454547,0.13377588655473024,0.28496732026143784,0.12287581699346406,0.3165546438010941,0.12621740674111634,,,,,,
tp2_hit,LightGBM,classification,0.47943899782135074,0.10170693475693077,0.4280560110635226,0.06544814675888348,0.39956632029522055,0.1047058645562783,0.3915032679738562,0.1011362673667174,0.3933021436807247,0.10006710651089215,,,,,,
tp3_hit,RandomForest,classification,0.4974313863476425,0.04667500309977836,0.36568217491934607,0.05234990231731507,0.3434276868642193,0.0761460467866266,0.35989010989010983,0.10241764137148707,0.3439372396495045,0.07706971760623114,,,,,,
tp3_hit,XGBoost,classification,0.49998985005142627,0.07242828983692053,0.35511066150926407,0.05699057649726975,0.323946608946609,0.1323868861077282,0.16868131868131866,0.07293632678413899,0.21621899377600012,0.08916942121183012,,,,,,
tp3_hit,LightGBM,classification,0.4832701780977643,0.07923976165871852,0.34456351042504674,0.05323303571572379,0.3175062656641604,0.0934560324092504,0.3467032967032967,0.14556706965071065,0.32738163862656766,0.1078825522143629,,,,,,
rr_achieved,RandomForest,regression,,,,,,,,,,,4.560978206905339,0.32699726738795026,5.384460660572488,0.2284641633580631,-0.07180489840302173,0.06484421179816913
rr_achieved,XGBoost,regression,,,,,,,,,,,4.9376409508677614,0.4215453908962208,5.926254884194203,0.3902847042047306,-0.300469924004257,0.14165844816237197
rr_achieved,LightGBM,regression,,,,,,,,,,,4.986752008580473,0.3469174655211228,5.974543429440554,0.3398757980049935,-0.32161869132380616,0.12819504899529338
