Filter,WR_Yes,WR_No,N_Yes,N_No,Edge_pct,p_value
Displacement,47.94520547945205,51.71413502109705,73,3792,-3.768929541645001,0.6030340621703538
FVG Present,50.093283582089555,52.23773720014322,1072,2793,-2.1444536180536673,0.24669140643744952
OB Present,51.65409170052234,51.633986928104584,1723,2142,0.020104772417759875,1.0
PDH Sweep,46.749226006191954,52.08921513269339,323,3542,-5.339989126501436,0.07502490963369979
PDL Sweep,53.072625698324025,51.49700598802395,358,3507,1.5756197103000744,0.6081255321276196
PWH Sweep,50.0,51.97021408625504,642,3223,-1.9702140862550408,0.384857960674892
PWL Sweep,61.08108108108108,50.64377682403433,370,3495,10.437304257046748,0.00016611923397879145
Asian Sweep,52.92153589315526,49.557522123893804,2396,1469,3.3640137692614545,0.04568688482629453
EQL Sweep,53.305263157894736,48.99328859060403,2375,1490,4.311974567290704,0.009942055506448388
EQH Sweep,52.604166666666664,50.69408740359898,1920,1945,1.9100792630676864,0.24771882393380684
NY Session,50.14577259475219,51.78875638841567,343,3522,-1.6429837936634826,0.599820347698687
ADR OK,51.34310134310134,53.3106960950764,3276,589,-1.9675947519750636,0.40373913318070787
